日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
2011/4/16,0,27.0,0,2,0,0,0,1,0,0,0
2011/4/16,1,15.0,8,1,0,0,1,0,0,0,0
2011/4/17,0,26.0,8,1,0,0,1,0,0,0,0
2011/4/17,1,15.0,8,1,0,0,1,0,0,0,0
2011/4/18,0,28.0,8,1,0,0,1,0,0,0,0
2011/4/18,1,15.0,8,1,0,0,1,0,0,0,0
2011/4/19,0,28.0,8,1,0,1,0,0,0,0,0
2011/4/19,1,15.0,8,1,0,1,0,0,0,0,0
2011/4/20,0,22.0,8,1,1,0,0,0,1,0,0
2011/4/20,1,12.0,8,1,0,0,0,1,0,0,0
2011/4/21,0,25.0,8,1,0,0,1,0,0,0,0
2011/4/21,1,12.0,8,1,0,0,1,0,0,0,0
2011/4/22,0,28.0,8,1,0,0,1,0,0,0,0
2011/4/22,1,13.0,0,2,0,0,1,0,0,0,0
2011/4/23,0,30.0,8,1,0,0,1,0,0,0,0
2011/4/23,1,14.0,8,1,0,0,1,0,0,0,0
2011/4/24,0,30.0,0,2,0,0,1,0,0,0,0
2011/4/24,1,15.0,0,2,0,0,1,0,0,0,0
2011/4/25,0,31.0,7,2,0,0,1,0,0,0,0
2011/4/25,1,17.0,6,2,0,0,1,0,0,0,0
2011/4/26,0,31.0,5,2,0,0,1,0,0,0,0
2011/4/26,1,18.0,8,1,0,1,0,0,0,0,0
2011/4/27,0,29.0,8,1,0,1,0,0,0,0,0
2011/4/27,1,19.0,8,1,0,1,0,0,0,0,0
2011/4/28,0,32.0,8,1,0,1,0,0,0,0,0
2011/4/28,1,18.0,8,1,0,1,0,0,0,0,0
2011/4/29,0,33.0,8,1,0,0,0,1,0,0,0
2011/4/29,1,15.0,7,2,0,1,0,0,0,0,0
2011/4/30,0,28.0,8,1,0,1,0,0,0,0,0
2011/4/30,1,18.0,8,1,0,0,0,1,0,0,0
2011/5/1,0,27.0,8,1,1,0,0,0,1,0,0
2011/5/1,1,9.0,8,1,1,0,0,0,1,0,0
2011/5/2,0,22.0,8,1,0,1,0,0,0,0,0
2011/5/2,1,10.0,8,1,0,0,1,0,0,0,0
2011/5/3,0,26.0,8,1,0,1,0,0,0,0,0
2011/5/3,1,13.0,8,1,0,0,0,1,0,0,0
2011/5/4,0,29.0,8,1,0,0,1,0,0,0,0
2011/5/4,1,15.0,8,1,0,0,1,0,0,0,0
2011/5/5,0,30.0,8,1,0,1,0,0,0,0,0
2011/5/5,1,18.0,8,1,0,1,0,0,0,0,0
2011/5/6,0,31.0,8,1,0,1,0,0,0,0,0
2011/5/6,1,20.0,1,1,0,1,0,0,0,0,0
2011/5/7,0,32.0,8,1,0,0,0,1,0,0,0
2011/5/7,1,22.0,8,1,0,0,0,1,0,0,0
2011/5/8,0,31.0,8,1,3,0,0,0,1,0,0
2011/5/8,1,15.0,8,1,3,0,0,0,1,0,0
2011/5/9,0,21.0,8,1,1,0,0,0,1,0,0
2011/5/9,1,13.0,8,1,2,0,0,0,1,0,0
2011/5/10,0,21.0,8,1,1,0,0,0,1,0,0
2011/5/10,1,11.0,8,1,0,1,0,0,0,0,0
2011/5/11,0,26.0,8,1,0,0,1,0,0,0,0
2011/5/11,1,14.0,8,1,0,1,0,0,0,0,0
2011/5/12,0,25.0,8,1,0,0,1,0,0,0,0
2011/5/12,1,14.0,8,1,0,1,0,0,0,0,0
2011/5/13,0,23.0,8,1,0,1,0,0,0,0,0
2011/5/13,1,13.0,8,1,0,0,0,1,0,0,0
2011/5/14,0,25.0,8,1,0,0,0,1,0,0,0
2011/5/14,1,15.0,8,1,0,0,1,0,0,0,0
2011/5/15,0,29.0,8,1,0,0,1,0,0,0,0
2011/5/15,1,15.0,8,1,0,0,1,0,0,0,0
2011/5/16,0,31.0,8,1,0,0,1,0,0,0,0
2011/5/16,1,19.0,8,1,0,0,1,0,0,0,0
2011/5/17,0,35.0,8,1,0,0,1,0,0,0,0
2011/5/17,1,22.0,8,1,0,1,0,0,0,0,0
2011/5/18,0,36.0,8,1,0,1,0,0,0,0,0
2011/5/18,1,23.0,7,2,0,1,0,0,0,0,0
2011/5/19,0,31.0,8,1,0,0,0,1,0,0,0
2011/5/19,1,21.0,8,1,0,0,0,1,0,0,0
2011/5/20,0,24.0,8,1,3,0,0,0,1,0,0
2011/5/20,1,13.0,8,1,2,0,0,0,1,0,0
2011/5/21,0,17.0,8,1,1,0,0,0,1,0,0
2011/5/21,1,11.0,8,1,1,0,0,0,1,0,0
2011/5/22,0,22.0,8,1,0,0,0,1,0,0,0
2011/5/22,1,11.0,8,1,0,1,0,0,0,0,0
2011/5/23,0,24.0,8,1,0,1,0,0,0,0,0
2011/5/23,1,13.0,8,1,0,0,0,1,0,0,0
2011/5/24,0,22.0,8,1,1,0,0,0,1,0,0
2011/5/24,1,14.0,8,1,0,0,0,1,0,0,0
2011/5/25,0,27.0,8,1,0,1,0,0,0,0,0
2011/5/25,1,15.0,8,1,0,0,1,0,0,0,0
2011/5/26,0,29.0,8,1,0,1,0,0,0,0,0
2011/5/26,1,17.0,8,1,0,1,0,0,0,0,0
2011/5/27,0,31.0,8,1,0,0,1,0,0,0,0
2011/5/27,1,19.0,8,1,0,1,0,0,0,0,0
2011/5/28,0,31.0,8,1,0,0,0,1,0,0,0
2011/5/28,1,17.0,8,1,1,0,0,0,1,0,0
2011/5/29,0,25.0,8,1,1,0,0,0,1,0,0
2011/5/29,1,17.0,8,1,0,0,0,1,0,0,0
2011/5/30,0,25.0,8,1,0,1,0,0,0,0,0
2011/5/30,1,17.0,8,1,0,1,0,0,0,0,0
2011/5/31,0,30.0,8,1,0,0,1,0,0,0,0
2011/5/31,1,19.0,8,1,0,0,1,0,0,0,0
2011/6/1,0,32.0,8,1,0,0,1,0,0,0,0
2011/6/1,1,18.0,8,1,0,1,0,0,0,0,0
2011/6/2,0,30.0,8,1,0,1,0,0,0,0,0
2011/6/2,1,19.0,8,1,0,1,0,0,0,0,0
2011/6/3,0,30.0,8,1,0,0,0,1,0,0,0
2011/6/3,1,19.0,8,1,0,0,0,1,0,0,0
2011/6/4,0,29.0,8,1,0,1,0,0,0,0,0
2011/6/4,1,19.0,8,1,0,1,0,0,0,0,0
2011/6/5,0,30.0,8,1,0,1,0,0,0,0,0
2011/6/5,1,20.0,8,1,0,0,0,1,0,0,0
2011/6/6,0,33.0,8,1,0,0,1,0,0,0,0
2011/6/6,1,21.0,8,1,0,0,1,0,0,0,0
2011/6/7,0,37.0,8,1,0,0,1,0,0,0,0
2011/6/7,1,22.0,8,1,0,0,1,0,0,0,0
2011/6/8,0,37.0,8,1,0,1,0,0,0,0,0
2011/6/8,1,24.0,8,1,0,0,0,1,0,0,0
2011/6/9,0,28.0,8,1,3,0,0,0,1,0,0
2011/6/9,1,18.0,8,1,0,0,0,1,0,0,0
2011/6/10,0,33.0,8,1,0,1,0,0,0,0,0
2011/6/10,1,20.0,8,1,0,1,0,0,0,0,0
2011/6/11,0,35.0,8,1,0,1,0,0,0,0,0
2011/6/11,1,22.0,8,1,0,1,0,0,0,0,0
2011/6/12,0,33.0,8,1,0,0,0,1,0,0,0
2011/6/12,1,22.0,8,1,0,1,0,0,0,0,0
2011/6/13,0,33.0,8,1,0,0,0,1,0,0,0
2011/6/13,1,24.0,8,1,0,0,0,1,0,0,0
2011/6/14,0,34.0,8,1,0,0,0,1,0,0,0
2011/6/14,1,23.0,8,1,0,1,0,0,0,0,0
2011/6/15,0,36.0,8,1,0,0,1,0,0,0,0
2011/6/15,1,24.0,8,1,0,1,0,0,0,0,0
2011/6/16,0,35.0,8,1,0,0,0,1,0,0,0
2011/6/16,1,20.0,8,1,1,0,0,0,1,0,0
2011/6/17,0,26.0,8,1,1,0,0,0,1,0,0
2011/6/17,1,19.0,8,1,1,0,0,0,1,0,0
2011/6/18,0,31.0,8,1,0,1,0,0,0,0,0
2011/6/18,1,21.0,8,1,0,0,0,1,0,0,0
2011/6/19,0,28.0,8,1,0,0,0,1,0,0,0
2011/6/19,1,24.0,8,1,0,0,0,1,0,0,0
2011/6/20,0,27.0,8,1,1,0,0,0,1,0,0
2011/6/20,1,19.0,8,1,1,0,0,0,1,0,0
2011/6/21,0,24.0,8,1,2,0,0,0,1,0,0
2011/6/21,1,19.0,8,1,2,0,0,0,1,0,0
2011/6/22,0,25.0,8,1,1,0,0,0,1,0,0
2011/6/22,1,20.0,8,1,1,0,0,0,1,0,0
2011/6/23,0,35.0,8,1,0,1,0,0,0,0,0
2011/6/23,1,21.0,8,1,0,0,1,0,0,0,0
2011/6/24,0,36.0,8,1,0,0,1,0,0,0,0
2011/6/24,1,23.0,8,1,0,0,1,0,0,0,0
2011/6/25,0,34.0,8,1,0,0,1,0,0,0,0
2011/6/25,1,21.0,8,1,0,1,0,0,0,0,0
2011/6/26,0,25.0,8,1,3,0,0,0,1,0,0
2011/6/26,1,21.0,8,1,1,0,0,0,1,0,0
2011/6/27,0,31.0,8,1,0,1,0,0,0,0,0
2011/6/27,1,20.0,8,1,0,0,1,0,0,0,0
2011/6/28,0,35.0,8,1,0,0,1,0,0,0,0
2011/6/28,1,22.0,8,1,0,0,1,0,0,0,0
2011/6/29,0,35.0,8,1,0,1,0,0,0,0,0
2011/6/29,1,25.0,8,1,0,1,0,0,0,0,0
2011/6/30,0,36.0,8,1,0,1,0,0,0,0,0
2011/6/30,1,27.0,8,1,0,1,0,0,0,0,0
2011/7/1,0,35.0,8,1,0,0,0,1,0,0,0
2011/7/1,1,28.0,8,1,0,1,0,0,0,0,0
2011/7/2,0,36.0,6,2,3,0,0,0,1,0,0
2011/7/2,1,24.0,5,2,3,0,0,0,1,0,0
2011/7/3,0,29.0,8,1,1,0,0,0,1,0,0
2011/7/3,1,23.0,8,1,1,0,0,0,1,0,0
2011/7/4,0,27.0,8,1,1,0,0,0,1,0,0
2011/7/4,1,22.0,8,1,1,0,0,0,1,0,0
2011/7/5,0,26.0,8,1,2,0,0,0,1,0,0
2011/7/5,1,20.0,8,1,3,0,0,0,1,0,0
2011/7/6,0,23.0,8,1,1,0,0,0,1,0,0
2011/7/6,1,19.0,8,1,1,0,0,0,1,0,0
2011/7/7,0,30.0,8,1,0,1,0,0,0,0,0
2011/7/7,1,20.0,8,1,0,0,1,0,0,0,0
2011/7/8,0,36.0,8,1,0,0,1,0,0,0,0
2011/7/8,1,21.0,8,1,0,0,1,0,0,0,0
2011/7/9,0,35.0,8,1,0,1,0,0,0,0,0
2011/7/9,1,22.0,8,1,0,0,0,1,0,0,0
2011/7/10,0,33.0,8,1,0,0,0,1,0,0,0
2011/7/10,1,23.0,8,1,0,0,0,1,0,0,0
2011/7/11,0,29.0,8,1,1,0,0,0,1,0,0
2011/7/11,1,23.0,8,1,0,0,0,1,0,0,0
2011/7/12,0,30.0,8,1,0,1,0,0,0,0,0
2011/7/12,1,24.0,8,1,0,1,0,0,0,0,0
2011/7/13,0,32.0,8,1,0,1,0,0,0,0,0
2011/7/13,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/14,0,36.0,8,1,0,1,0,0,0,0,0
2011/7/14,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/15,0,36.0,8,1,0,1,0,0,0,0,0
2011/7/15,1,24.0,8,1,0,0,1,0,0,0,0
2011/7/16,0,36.0,8,1,0,1,0,0,0,0,0
2011/7/16,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/17,0,36.0,8,1,3,0,0,0,1,0,0
2011/7/17,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/18,0,35.0,8,1,0,1,0,0,0,0,0
2011/7/18,1,24.0,8,1,0,0,1,0,0,0,0
2011/7/19,0,35.0,8,1,0,1,0,0,0,0,0
2011/7/19,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/20,0,34.0,8,1,0,1,0,0,0,0,0
2011/7/20,1,25.0,8,1,0,1,0,0,0,0,0
2011/7/21,0,33.0,8,1,1,0,0,0,1,0,0
2011/7/21,1,22.0,8,1,1,0,0,0,1,0,0
2011/7/22,0,29.0,8,1,1,0,0,0,1,0,0
2011/7/22,1,22.0,8,1,1,0,0,0,1,0,0
2011/7/23,0,29.0,8,1,1,0,0,0,1,0,0
2011/7/23,1,25.0,8,1,0,0,0,1,0,0,0
2011/7/24,0,36.0,8,1,0,1,0,0,0,0,0
2011/7/24,1,27.0,8,1,0,1,0,0,0,0,0
2011/7/25,0,38.0,8,1,0,1,0,0,0,0,0
2011/7/25,1,27.0,8,1,0,1,0,0,0,0,0
2011/7/26,0,36.0,8,1,0,1,0,0,0,0,0
