SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5
84.0,25.0,246.0,87.0,6.0,6.0,370.0
106.0,30.0,438.0,94.0,6.0,6.0,447.0
93.0,28.0,269.0,78.0,10.0,10.0,346.0
102.0,80.0,289.0,81.0,3.0,4.0,321.0
94.0,121.0,170.0,59.0,5.0,6.0,219.0
108.0,113.0,170.0,58.0,8.0,9.0,183.0
72.0,106.0,136.0,56.0,11.0,13.0,137.0
68.0,77.0,87.0,36.0,18.0,23.0,54.0
81.0,131.0,199.0,79.0,4.0,5.0,299.0
68.0,89.0,98.0,44.0,20.0,22.0,124.0
87.0,84.0,79.0,36.0,16.0,18.0,78.0
76.0,111.0,250.0,83.0,4.0,3.0,368.0
113.0,131.0,478.0,103.0,3.0,4.0,458.0
108.0,125.0,325.0,92.0,4.0,4.0,349.0
91.0,105.0,185.0,61.0,6.0,7.0,242.0
100.0,104.0,167.0,50.0,8.0,8.0,193.0
104.0,84.0,160.0,41.0,13.0,14.0,120.0
116.0,139.0,449.0,90.0,4.0,5.0,468.6286957466218
107.0,120.0,275.0,69.0,5.0,5.0,336.8053434790726
115.0,119.0,216.0,66.0,4.0,5.0,315.7398367381823
102.0,114.0,200.0,80.0,13.0,14.0,250.0
116.0,129.0,416.0,84.0,6.0,9.0,389.0
105.0,104.0,176.0,65.0,4.0,5.0,236.0
106.0,125.0,407.0,87.0,6.0,9.0,373.0
108.0,121.0,255.70980661836546,101.0,7.0,10.0,388.74982532754376
104.0,82.0,185.1831796274385,95.0,8.0,11.0,375.54731775697303
120.0,70.0,258.0,71.0,7.0,10.0,278.0
107.0,44.0,126.0,41.0,21.0,10.0,156.0
46.0,23.0,63.0,13.0,46.0,21.0,42.0
61.0,27.0,105.0,21.0,34.0,15.0,87.0
62.0,43.0,144.0,33.0,43.0,17.0,103.0
34.0,117.0,126.0,41.0,35.0,48.0,133.0
20.0,110.0,115.0,64.52125022710466,33.0,45.0,102.0
3.0,50.59773311150463,135.0,36.922608602484296,28.0,35.0,113.0
3.0,104.0,113.0,22.0,16.0,19.0,93.0
6.0,102.0,109.0,28.0,2.0,3.0,119.0
11.0,106.0,107.0,50.0,10.0,12.0,95.0
32.589294010409084,78.0,62.0,30.0,12.0,15.0,58.0
8.0,68.0,73.0,27.0,13.0,17.0,83.0
31.0,67.0,262.0,25.0,29.0,33.0,160.0
49.0,104.0,164.0,36.0,41.0,55.0,135.0
31.0,95.0,115.0,23.0,34.0,45.0,92.0
45.0,113.0,118.0,35.0,34.0,42.0,89.0
33.0,94.0,114.0,38.0,29.0,40.0,79.0
23.0,97.0,95.0,32.0,32.0,37.0,67.0
21.0,98.0,98.0,36.0,29.0,40.0,73.0
46.0,107.0,105.0,37.0,23.0,29.0,84.0
22.0,83.0,97.0,23.0,26.0,37.0,69.0
16.0,58.0,83.0,18.0,26.0,37.0,58.0
20.0,79.0,140.0,24.0,23.0,34.0,118.0
40.0,103.0,107.0,41.0,25.0,30.0,104.0
19.0,83.0,89.0,23.0,27.0,33.0,82.0
13.0,65.0,95.0,22.0,16.0,22.0,88.0
30.0,105.0,129.0,36.0,16.0,16.0,129.0
53.0,110.0,136.0,40.0,38.0,47.0,140.0
56.0,116.0,126.0,39.0,8.0,10.0,133.0
25.0,103.0,373.96980988023256,41.0,30.0,41.0,144.0
40.0,106.0,145.0,43.0,32.0,29.0,176.0
57.0,111.0,158.0,42.0,32.0,37.0,179.0
48.0,108.0,168.0,40.0,17.0,22.0,179.0
60.0,121.0,136.0,42.0,20.0,21.0,120.0
49.0,119.0,135.0,43.0,21.0,23.0,117.0
59.0,106.0,139.0,36.0,9.0,35.10592173235223,143.0
47.0,85.0,165.0,27.0,27.0,36.0,142.0
53.0,111.0,167.0,43.0,31.0,37.0,186.0
48.0,109.0,112.0,34.0,24.0,26.0,110.0
48.0,107.0,187.0,33.0,14.0,16.0,172.0
43.0,99.0,171.0,24.0,27.0,35.0,143.0
42.0,111.0,178.0,35.0,24.0,25.0,159.0
36.0,106.0,152.0,53.0,25.0,25.0,124.0
40.0,99.0,158.0,67.0,29.0,37.0,138.0
51.0,105.0,161.0,66.0,10.0,12.0,198.0
58.0,104.0,164.0,60.0,22.0,26.0,192.0
53.0,80.0,134.0,54.0,20.0,25.0,162.0
59.0,97.0,500.0,58.0,10.0,13.0,396.0
55.0,94.0,500.0,49.0,13.0,14.0,362.0
66.0,87.0,132.0,41.0,13.0,18.0,124.0
31.0,60.0,466.0,30.0,20.0,25.0,190.0
27.0,83.0,500.0,36.0,20.0,23.0,426.0
52.0,109.0,137.0,42.0,31.0,35.0,118.0
38.0,103.0,182.0,47.0,26.0,29.0,165.0
59.0,106.0,250.0,52.0,24.0,28.0,195.0
64.0,111.0,191.0,52.0,28.0,34.0,203.0
53.0,104.0,171.0,43.0,23.0,28.0,153.0
47.0,100.0,162.0,44.0,24.0,28.0,152.0
67.0,103.0,157.0,40.0,16.0,19.0,137.0
47.0,69.0,137.0,21.0,20.0,27.0,90.0
67.0,111.0,258.0,53.0,21.0,23.0,254.0
76.0,119.0,249.0,60.0,40.0,46.0,307.0
88.0,130.0,222.0,70.0,26.0,20.0,298.0
65.0,116.0,242.0,56.0,171.0,35.0,320.0
58.0,116.0,242.0,56.0,34.0,43.0,306.0
40.0,110.0,146.0,49.0,35.0,41.0,227.0
32.0,103.0,101.0,40.0,35.0,43.0,144.0
42.0,87.0,75.0,37.0,21.0,27.0,118.0
13.0,72.0,70.0,32.0,19.0,24.0,114.0
12.0,69.0,75.0,35.0,27.0,33.0,118.0
63.75575898353779,77.0,138.0,67.0,29.0,31.0,252.0
66.52343478882038,64.0,163.0,78.0,26.0,31.0,295.0
9.0,48.0,76.0,52.0,27.0,35.0,77.0
42.54219597227574,55.0,92.0,57.0,21.0,27.0,134.0
38.87729050855484,50.0,76.0,53.0,30.0,34.0,100.0
44.16067778800522,43.0,86.0,57.0,28.0,35.0,155.0
8.0,48.0,275.7237577381115,68.0,10.0,13.0,276.0
7.0,59.0,500.0,74.0,23.0,27.0,496.0
6.0,69.0,159.0,65.0,19.0,23.0,298.0
8.0,53.0,185.29991610222382,51.0,16.0,22.0,144.0
41.0,55.0,122.79735156768808,65.0,14.0,18.0,186.0
41.0,79.0,170.0,88.0,10.0,15.0,312.0
34.0,67.0,89.0,73.0,22.0,25.0,137.0
10.0,63.0,130.30132925207127,73.0,8.0,12.0,175.0
26.0,80.0,119.0,88.0,8.0,12.0,268.0
49.0,102.0,354.4277694655157,98.0,9.0,13.0,375.0
52.0,107.0,295.0,101.0,9.0,13.0,413.0
44.0,102.0,213.0,86.0,15.0,16.0,333.0
68.0,114.0,328.0,89.0,12.0,15.0,414.0
61.0,103.0,205.0,73.0,16.0,19.0,324.0
40.0,69.0,99.0,51.0,19.0,26.0,93.0
42.0,59.0,78.0,32.0,25.0,31.0,57.0
64.0,102.0,164.0,65.0,12.0,15.0,254.0
42.0,69.0,119.0,46.0,23.0,26.0,173.0
47.0,59.0,71.0,38.0,20.0,24.0,79.0
48.0,97.0,208.0,89.0,8.0,12.0,333.0
70.0,111.0,422.0,105.0,8.0,12.0,420.0
72.0,108.0,302.0,97.0,10.0,13.0,307.0
54.0,93.0,192.0,68.0,12.0,16.0,219.0
51.0,77.0,152.0,46.0,18.0,22.0,139.0
61.0,68.0,149.0,39.0,20.0,23.0,85.0
74.0,113.0,339.0,90.0,9.0,13.0,382.0
65.0,103.0,195.0,78.0,10.0,14.0,294.0
77.0,101.0,179.0,67.0,10.0,13.0,228.0
64.0,89.0,168.0,64.0,19.0,21.0,228.0
81.0,105.0,279.0,76.0,9.0,13.0,332.0
61.0,89.0,178.0,69.0,10.0,14.0,250.0
66.0,105.0,286.0,79.0,9.0,13.0,326.0
75.0,106.0,253.0,79.0,9.0,13.0,316.0
73.0,105.0,395.0,92.0,9.0,13.0,372.0
91.0,89.0,181.0,65.0,9.0,13.0,251.0
93.0,63.0,142.0,25.0,29.0,14.0,148.0
44.0,35.0,61.0,44.837155721889054,66.0,29.0,70.0
67.0,42.0,65.0,5.0,49.0,22.0,82.0
72.0,57.0,72.0,11.0,65.0,25.0,100.0
40.0,117.0,151.0,42.0,31.0,41.0,112.0
38.0,125.0,169.0,45.0,31.0,40.0,132.0
31.0,62.890442917233,152.0,46.213009562944514,23.0,30.0,125.0
30.0,80.0,132.0,77.0,24.0,28.0,142.0
28.0,52.0,142.0,84.0,9.0,11.0,173.0
44.0,55.0,113.0,76.0,18.0,23.0,138.0
28.0,40.0,81.0,76.0,13.0,18.0,89.0
18.0,37.0,112.0,74.0,16.0,22.0,87.0
36.0,45.0,198.0,71.0,26.0,36.0,144.0
48.0,78.0,149.0,84.0,40.0,54.0,107.0
21.0,44.0,87.0,59.0,33.0,46.0,49.0
25.0,99.0,104.0,76.0,38.0,56.0,68.0
25.0,84.0,91.0,68.0,32.0,43.0,50.0
25.0,99.0,97.0,74.0,29.0,39.0,62.0
32.0,94.0,96.0,75.0,30.0,41.0,63.0
22.0,64.0,90.0,71.0,25.0,36.0,59.0
19.0,45.0,87.0,81.0,25.0,36.0,39.0
22.0,70.0,130.0,96.0,22.0,32.0,72.0
43.0,89.0,114.0,101.0,27.0,34.0,85.0
25.0,62.0,91.0,83.0,25.0,35.0,55.0
15.0,35.0,103.0,84.0,20.0,28.0,54.0
36.0,79.0,161.0,101.0,15.0,20.0,172.0
53.0,98.0,152.0,101.0,34.0,42.0,148.0
62.0,94.0,139.0,96.0,11.0,14.0,114.0
37.0,103.0,192.0,102.0,34.0,42.0,215.0
52.0,82.0,187.0,98.0,29.0,29.0,222.0
54.0,95.0,195.0,101.0,29.0,39.0,204.0
53.0,85.0,172.0,93.0,20.0,27.0,165.0
52.0,103.0,133.0,102.0,30.0,36.0,104.0
46.0,107.0,124.0,102.0,22.0,30.0,99.0
23.0,69.0,118.0,83.0,30.0,40.0,112.0
59.0,84.0,142.0,84.0,11.0,38.1782549404383,128.0
50.0,63.0,153.0,76.0,25.0,33.0,102.0
47.0,102.0,181.0,101.0,32.0,38.0,170.0
49.0,102.0,143.0,98.0,22.0,27.0,139.0
50.0,82.0,166.0,86.0,16.0,22.0,143.0
43.0,74.0,135.0,79.0,23.0,32.0,78.0
37.0,104.0,166.0,103.0,25.0,28.0,110.0
40.0,102.0,138.0,100.0,27.0,30.0,83.0
51.0,69.0,141.0,90.0,32.0,44.0,143.0
62.0,94.0,219.0,100.0,10.0,14.0,256.0
86.0,95.0,190.0,89.0,15.0,19.0,219.0
67.0,58.0,174.0,71.0,17.0,21.0,147.0
77.0,73.0,500.0,91.0,11.0,15.0,253.0
52.0,60.0,500.0,78.0,14.0,18.0,190.0
74.0,63.0,143.0,61.0,12.0,14.0,93.0
34.0,47.0,340.0,39.0,22.0,26.0,92.0
35.0,92.0,500.0,66.0,18.0,25.0,196.0
62.0,113.0,152.0,87.0,36.0,39.0,108.0
68.0,113.0,199.0,68.0,25.0,27.0,127.0
52.0,82.0,191.0,35.0,26.0,34.0,127.0
97.0,111.0,209.0,52.0,22.0,24.0,193.0
87.0,101.0,161.0,44.0,23.0,24.0,108.0
46.0,70.0,162.0,45.12913640575097,26.0,34.0,95.0
69.0,64.0,148.0,18.0,21.0,27.0,78.0
58.0,55.0,163.0,30.226277170204956,18.0,25.0,54.0
58.0,55.0,280.0,58.965556402536215,19.0,23.0,251.0
95.0,64.0,358.0,103.0,21.0,30.0,349.0
102.0,68.0,369.0,104.0,24.0,21.0,368.0
102.0,53.0,305.0,62.0,9.0,11.0,347.0
83.0,53.0,178.0,59.0,24.0,28.0,247.0
68.0,43.0,111.0,49.0,28.0,32.0,130.0
59.0,34.0,119.0,28.0,31.0,38.0,158.0
59.0,25.0,93.0,42.302253064613744,17.0,22.0,117.0
52.0,25.0,88.0,11.0,11.0,13.0,109.0
35.0,27.0,103.0,22.0,22.0,24.0,110.0
77.0,37.0,177.0,74.0,18.0,22.0,247.0
79.0,39.0,192.0,103.0,21.0,28.0,284.0
63.0,29.0,80.0,78.0,23.0,29.0,78.0
65.0,29.0,101.0,83.0,20.0,25.0,128.0
