点位名称,SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5,首要污染物,时间
小寨 ,78,43,101,97,19,21,138,3,2013-02-05
小寨 ,45,43,119,102,5,7,170,4,2013-02-04
小寨 ,37,50,185,103,5,7,251,6,2013-02-03
小寨 ,75,80,410,107,5,7,359,7,2013-02-02
小寨 ,72,93,451,108,6,8,413,7,2013-02-01
小寨 ,71,65,370,101,11,12,312,7,2013-01-31
小寨 ,105,87,500,102,7,10,389,7,2013-01-30
小寨 ,104,93,332,105,10,12,331,7,2013-01-29
小寨 ,104,74,205,103,10,11,261,6,2013-01-28
小寨 ,103,83,194,103,8,9,223,6,2013-01-27
小寨 ,70,60,129,95,16,19,135,3,2013-01-26
小寨 ,61,50,118,91,18,20,124,3,2013-01-25
小寨 ,49,30,84,59,24,32,49,1,2013-01-24
小寨 ,85,64,178,98,15,18,229,6,2013-01-23
小寨 ,99,63,124,87,13,14,147,3,2013-01-22
小寨 ,61,34,87,63,19,24,74,1,2013-01-21
小寨 ,97,55,292,102,11,12,271,6,2013-01-20
小寨 ,116,101,500,113,10,12,402,7,2013-01-19
小寨 ,123,79,328,106,8,10,273,7,2013-01-18
小寨 ,115,70,199,102,8,9,204,6,2013-01-17
小寨 ,101,63,178,92,15,16,153,4,2013-01-16
小寨 ,70,44,141,42,20,22,83,3,2013-01-15
小寨 ,114,97,484,99,11,15,386,7,2013-01-14
小寨 ,90,69,180,66,28,25,212,6,2013-01-11
小寨 ,101,88,290,81,4,5,288,6,2013-01-10
小寨 ,102,85,300,81,28,33,282,6,2013-01-09
小寨 ,111,101,434,100,4,5,358,7,2013-01-08
小寨 ,110,102,344,112,7,7,309,7,2013-01-07
小寨 ,107,77,293,112,3,4,288,6,2013-01-06
小寨 ,121,78,184,109,3,4,228,6,2013-01-05
小寨 ,122,52,124,102,12,5,149,3,2013-01-04
小寨 ,85,33,69,77,50,19,42,1,2013-01-03
小寨 ,88,35,103,84,33,11,77,3,2013-01-02
小寨 ,97,64,148,104,47,12,127,3,2013-01-01
市人民体育场 ,24,27,168,35,72,92,124,4,2013-04-26
市人民体育场 ,25,94,170,38,49,76,114,4,2013-04-25
市人民体育场 ,15,55,160,46,15,43,166,4,2013-04-24
